Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,2450AT18A100E,ANT-SMD_L3.2-W1.6,"115,9",-112,90,bottom
AE3,2450AT18A100E,ANT-SMD_L3.2-W1.6,"145,85","-114,35",0,bottom
AE4,2450AT18A100E,ANT-SMD_L3.2-W1.6,"161,85","-114,35",0,bottom
AE6,2450AT18A100E,ANT-SMD_L3.2-W1.6,"123,75","-105,55",-90,bottom
C1,15pF,C_0201_0603Metric,"114,15","-112,25",0,bottom
C3,15pF,C_0201_0603Metric,"114,15","-109,65",180,bottom
C4,1uF,C_0201_0603Metric,"112,75","-112,3",0,bottom
C5,100nF,C_0201_0603Metric,"105,5","-112,2",-90,bottom
C6,100nF,C_0201_0603Metric,"106,7","-107,65",180,bottom
C8,10uF,C_0402_1005Metric,"101,25","-112,6",0,bottom
C9,100nF,C_0201_0603Metric,"106,85","-114,65",180,bottom
C10,1uF,C_0201_0603Metric,"100,7","-111,4",90,bottom
C12,100nF,C_0201_0603Metric,"102,6","-106,8",90,bottom
C16,100nF,C_0201_0603Metric,"104,8","-112,2",90,bottom
C17,1uF,C_0201_0603Metric,"101,7","-110,15",0,bottom
C18,10uF,C_0402_1005Metric,"101,75","-109,3",0,bottom
C21,220pF,C_0201_0603Metric,"105,97",-106,0,bottom
C22,1n,C_0201_0603Metric,105,"-103,25",180,bottom
C25,1uF,C_0201_0603Metric,"109,6","-114,55",0,bottom
C26,10nF,C_0201_0603Metric,"112,75",-113,0,bottom
C27,1uF,C_0201_0603Metric,"108,1","-107,65",0,bottom
C28,1uF,C_0201_0603Metric,"102,85",-114,-90,bottom
C29,1.2pF,C_0201_0603Metric,111,"-114,55",0,bottom
C30,1.2pF,C_0201_0603Metric,"111,35","-115,95",90,bottom
C31,1uF,C_0201_0603Metric,"105,97","-105,3",0,bottom
C35,100nF,C_0201_0603Metric,"112,75","-110,9",0,bottom
C36,47pF,C_0201_0603Metric,"112,75","-111,6",0,bottom
C40,220pF,C_0201_0603Metric,"114,05","-106,3",0,bottom
C41,1uF,C_0201_0603Metric,"114,05","-105,6",0,bottom
C43,1n,C_0201_0603Metric,"112,5","-104,4",180,bottom
